agents,targets,model,checkpoint,avg_dir_mismatch
10,2,Majority Model,1,3.534124023160973
10,2,Majority Model,2,1.1096967801997701
10,2,Majority Model,3,0.4245389649698573
10,2,Majority Model,4,0.2182965437390445
10,2,Majority Model,5,0.4572599194078261
10,2,Majority Model,6,0.13413787976298838
10,2,Majority Model,7,0.559975650992739
10,2,Majority Model,8,0.5877887134754525
10,2,Majority Model,9,0.40220055736924215
10,2,Majority Model,10,0.2552803854014377
10,2,Majority Model,11,0.33847581910450775
10,2,Majority Model,12,0.572662670266128
10,2,Majority Model,13,0.48662606978322714
10,2,Majority Model,14,0.10786093656724441
10,2,Majority Model,15,0.3109218906709517
10,2,Majority Model,16,0.48218502433156696
10,2,Majority Model,17,0.5325766170978953
10,2,Majority Model,18,0.42455360043948576
10,2,Majority Model,19,0.473769634997652
10,2,Majority Model,20,0.4657069670773947
10,2,Majority Model,21,0.4251253113318583
10,2,Majority Model,22,0.7389336872213279
10,2,Majority Model,23,0.5263623616690591
10,2,Majority Model,24,0.697358956634863
10,2,Majority Model,25,0.46162195041156934
10,2,Majority Model,26,0.4108557427904847
10,2,Majority Model,27,0.4047774932432932
10,2,Majority Model,28,0.40059311924104984
10,2,Majority Model,29,0.255519045521417
10,2,Majority Model,30,0.23634172991281507
10,2,Voter Model,1,1.5292986535356197
10,2,Voter Model,2,1.1032703181043446
10,2,Voter Model,3,0.6937725880014357
10,2,Voter Model,4,0.5654914361947808
10,2,Voter Model,5,0.3685062720940726
10,2,Voter Model,6,0.5201822605616155
10,2,Voter Model,7,0.32283060858195045
10,2,Voter Model,8,0.4579052363184396
10,2,Voter Model,9,0.29836651577436835
10,2,Voter Model,10,0.5415831777841087
10,2,Voter Model,11,0.48693046765239273
10,2,Voter Model,12,0.6843475351553099
10,2,Voter Model,13,0.3523427917392455
10,2,Voter Model,14,0.8107210682219327
10,2,Voter Model,15,0.6052728051228119
10,2,Voter Model,16,0.7135051565558982
10,2,Voter Model,17,0.40487856318495
10,2,Voter Model,18,0.3707263003709368
10,2,Voter Model,19,0.2798843341729993
10,2,Voter Model,20,0.62326089180046
10,2,Voter Model,21,0.7186998219740357
10,2,Voter Model,22,1.0493362367269607
10,2,Voter Model,23,0.6760522707798075
10,2,Voter Model,24,0.5102335856550678
10,2,Voter Model,25,0.3867271867305214
10,2,Voter Model,26,0.48482245722616246
10,2,Voter Model,27,0.33738000817979114
10,2,Voter Model,28,0.8444929044483628
10,2,Voter Model,29,0.398854428227112
10,2,Voter Model,30,0.3108269287238447
10,2,Kuramoto Model,1,2.8258176204882854
10,2,Kuramoto Model,2,3.2886349385417644
10,2,Kuramoto Model,3,3.6485150058487696
10,2,Kuramoto Model,4,3.207927512113396
10,2,Kuramoto Model,5,3.311704966090376
10,2,Kuramoto Model,6,3.3715815947546823
10,2,Kuramoto Model,7,3.1669682666029244
10,2,Kuramoto Model,8,3.1832476509757845
10,2,Kuramoto Model,9,3.2952745827202334
10,2,Kuramoto Model,10,3.117265912196136
10,2,Kuramoto Model,11,3.34565926403232
10,2,Kuramoto Model,12,2.9711807843455684
10,2,Kuramoto Model,13,3.237689199323335
10,2,Kuramoto Model,14,3.235821539287606
10,2,Kuramoto Model,15,3.0672280343779628
10,2,Kuramoto Model,16,3.1127244035621695
10,2,Kuramoto Model,17,3.319064793729879
10,2,Kuramoto Model,18,3.057362762976803
10,2,Kuramoto Model,19,3.269912053140969
10,2,Kuramoto Model,20,2.9568525773810266
10,2,Kuramoto Model,21,3.1789441865758334
10,2,Kuramoto Model,22,2.939686639227027
10,2,Kuramoto Model,23,3.108034963178221
10,2,Kuramoto Model,24,3.1173060465914793
10,2,Kuramoto Model,25,3.1158203112159932
10,2,Kuramoto Model,26,3.1664775951309627
10,2,Kuramoto Model,27,3.135625845559088
10,2,Kuramoto Model,28,3.1036677953202205
10,2,Kuramoto Model,29,2.9263969137859953
10,2,Kuramoto Model,30,3.222115707411156
10,10,Majority Model,1,1.4297996032708622
10,10,Majority Model,2,1.6052464933656494
10,10,Majority Model,3,0.9111649533702313
10,10,Majority Model,4,0.7016513903572308
10,10,Majority Model,5,0.4021954737460546
10,10,Majority Model,6,0.37144835060500137
10,10,Majority Model,7,0.3890327589464836
10,10,Majority Model,8,0.13972653688422368
10,10,Majority Model,9,0.2701252967008231
10,10,Majority Model,10,0.3258461060059232
10,10,Majority Model,11,0.24520281160830232
10,10,Majority Model,12,0.42219227696230865
10,10,Majority Model,13,0.24818912294492518
10,10,Majority Model,14,0.11605092215874162
10,10,Majority Model,15,0.4306762359732346
10,10,Majority Model,16,0.3078690179732529
10,10,Majority Model,17,0.29318804286366335
10,10,Majority Model,18,0.10392990195020427
10,10,Majority Model,19,0.32840990230437256
10,10,Majority Model,20,0.5414628316768011
10,10,Majority Model,21,0.18505846426952186
10,10,Majority Model,22,0.49565417798685923
10,10,Majority Model,23,0.14104993003070504
10,10,Majority Model,24,0.48289516990555537
10,10,Majority Model,25,0.2887326619150431
10,10,Majority Model,26,0.6100274092379502
10,10,Majority Model,27,0.3888931032285178
10,10,Majority Model,28,0.4897727096384257
10,10,Majority Model,29,0.25049399520937643
10,10,Majority Model,30,0.4496116491722226
10,10,Voter Model,1,2.0582396878002505
10,10,Voter Model,2,0.9092700235522759
10,10,Voter Model,3,0.8145651646891711
10,10,Voter Model,4,0.6281067189183333
10,10,Voter Model,5,0.4171459846388002
10,10,Voter Model,6,0.7159112706587082
10,10,Voter Model,7,0.42816753994434426
10,10,Voter Model,8,0.25843863246377696
10,10,Voter Model,9,0.4898209634981162
10,10,Voter Model,10,0.18789553823723665
10,10,Voter Model,11,0.43760626402136077
10,10,Voter Model,12,0.17391589085199718
10,10,Voter Model,13,0.534503962290529
10,10,Voter Model,14,0.35766278975834986
10,10,Voter Model,15,0.4449944545686429
10,10,Voter Model,16,0.2601429789627073
10,10,Voter Model,17,1.435351833268698
10,10,Voter Model,18,0.3743779392636001
10,10,Voter Model,19,0.24568563046709024
10,10,Voter Model,20,0.40947328539382133
10,10,Voter Model,21,0.3878192392045488
10,10,Voter Model,22,0.4246820337807125
10,10,Voter Model,23,0.3480352046945626
10,10,Voter Model,24,0.31030742378604265
10,10,Voter Model,25,0.2648575612419583
10,10,Voter Model,26,0.4249057638976678
10,10,Voter Model,27,0.7857840252541684
10,10,Voter Model,28,0.3220118435393278
10,10,Voter Model,29,0.1774727329516708
10,10,Voter Model,30,0.5904755011094177
10,10,Kuramoto Model,1,4.436926255443835
10,10,Kuramoto Model,2,3.576773899588951
10,10,Kuramoto Model,3,2.785849351367664
10,10,Kuramoto Model,4,3.1214340180781486
10,10,Kuramoto Model,5,3.10906574607331
10,10,Kuramoto Model,6,3.0824124266888555
10,10,Kuramoto Model,7,3.267118954593708
10,10,Kuramoto Model,8,3.3729431310794964
10,10,Kuramoto Model,9,3.085141004071846
10,10,Kuramoto Model,10,3.3659297127590917
10,10,Kuramoto Model,11,3.377453627221218
10,10,Kuramoto Model,12,2.9530403658936955
10,10,Kuramoto Model,13,3.392365865898023
10,10,Kuramoto Model,14,3.0078078725108135
10,10,Kuramoto Model,15,2.9998494703591545
10,10,Kuramoto Model,16,3.005727693557255
10,10,Kuramoto Model,17,3.048925672421914
10,10,Kuramoto Model,18,3.044082379385859
10,10,Kuramoto Model,19,3.3421879705954147
10,10,Kuramoto Model,20,3.628835149293761
10,10,Kuramoto Model,21,2.8921557837675698
10,10,Kuramoto Model,22,2.9661172624945427
10,10,Kuramoto Model,23,2.8533103162987166
10,10,Kuramoto Model,24,3.093986967952163
10,10,Kuramoto Model,25,3.0190148228211875
10,10,Kuramoto Model,26,2.860355861646353
10,10,Kuramoto Model,27,3.1493215879450345
10,10,Kuramoto Model,28,3.051143919341627
10,10,Kuramoto Model,29,2.9964138176533623
10,10,Kuramoto Model,30,2.921144677110486
20,2,Majority Model,1,2.1156497299237684
20,2,Majority Model,2,0.6357423074689821
20,2,Majority Model,3,0.8114556511758415
20,2,Majority Model,4,0.9689910666039973
20,2,Majority Model,5,0.37835062401765235
20,2,Majority Model,6,0.6880526417846813
20,2,Majority Model,7,0.4979782557212823
20,2,Majority Model,8,0.5391178207785001
20,2,Majority Model,9,0.6427666948907278
20,2,Majority Model,10,0.6035517181453756
20,2,Majority Model,11,0.4267448258426321
20,2,Majority Model,12,0.29589534279955154
20,2,Majority Model,13,0.36352352845686337
20,2,Majority Model,14,0.46627485924653556
20,2,Majority Model,15,0.400713630336795
20,2,Majority Model,16,0.9182863012925914
20,2,Majority Model,17,0.4123703549377463
20,2,Majority Model,18,0.5267611123499419
20,2,Majority Model,19,0.2720745936536681
20,2,Majority Model,20,0.37996043208940494
20,2,Majority Model,21,0.45239075916949495
20,2,Majority Model,22,0.714834935711082
20,2,Majority Model,23,0.5001863599283235
20,2,Majority Model,24,0.41625181795968097
20,2,Majority Model,25,0.42250544627504005
20,2,Majority Model,26,0.4974132169171129
20,2,Majority Model,27,0.8294653217001485
20,2,Majority Model,28,0.49707330363071894
20,2,Majority Model,29,0.41272262259322917
20,2,Majority Model,30,0.4137961169436782
20,2,Voter Model,1,2.9924523656661455
20,2,Voter Model,2,1.2339888667361794
20,2,Voter Model,3,1.0080932310020376
20,2,Voter Model,4,0.9453261281763604
20,2,Voter Model,5,0.41736761242952464
20,2,Voter Model,6,0.6110864415146235
20,2,Voter Model,7,0.34921201248590666
20,2,Voter Model,8,0.6133451883674039
20,2,Voter Model,9,0.6948193472453473
20,2,Voter Model,10,0.555249139838963
20,2,Voter Model,11,0.515868696161162
20,2,Voter Model,12,0.3676555437748569
20,2,Voter Model,13,0.29414382384259063
20,2,Voter Model,14,0.33145939885923836
20,2,Voter Model,15,0.5575302080366761
20,2,Voter Model,16,0.39606197757779205
20,2,Voter Model,17,0.6865284763969449
20,2,Voter Model,18,0.3861453947504083
20,2,Voter Model,19,0.23227991788653748
20,2,Voter Model,20,0.590953334701016
20,2,Voter Model,21,0.5018738733952028
20,2,Voter Model,22,0.32968047950241286
20,2,Voter Model,23,0.3621227454338607
20,2,Voter Model,24,0.613174531004731
20,2,Voter Model,25,0.3421355651524756
20,2,Voter Model,26,0.3362875235345375
20,2,Voter Model,27,0.3862444836766318
20,2,Voter Model,28,0.5298023138868354
20,2,Voter Model,29,0.30203299153035124
20,2,Voter Model,30,0.47896848929696334
20,2,Kuramoto Model,1,2.0814000739571363
20,2,Kuramoto Model,2,2.8260296018298936
20,2,Kuramoto Model,3,2.961764969532543
20,2,Kuramoto Model,4,3.1654888752201735
20,2,Kuramoto Model,5,3.1682217374784925
20,2,Kuramoto Model,6,2.959317637234245
20,2,Kuramoto Model,7,3.004132125583235
20,2,Kuramoto Model,8,2.965791081397632
20,2,Kuramoto Model,9,3.26033760755629
20,2,Kuramoto Model,10,2.87280254077731
20,2,Kuramoto Model,11,3.5037808042379885
20,2,Kuramoto Model,12,3.2671489999261283
20,2,Kuramoto Model,13,3.2470243263519336
20,2,Kuramoto Model,14,3.456139504184354
20,2,Kuramoto Model,15,3.0480239029569964
20,2,Kuramoto Model,16,3.145293535458108
20,2,Kuramoto Model,17,3.3273504923652872
20,2,Kuramoto Model,18,3.0467652196609794
20,2,Kuramoto Model,19,3.2106780678674625
20,2,Kuramoto Model,20,3.139394478843935
20,2,Kuramoto Model,21,3.1926698561177878
20,2,Kuramoto Model,22,3.0283164050381814
20,2,Kuramoto Model,23,3.0223945187031718
20,2,Kuramoto Model,24,3.0877408752188695
20,2,Kuramoto Model,25,3.0523027438754387
20,2,Kuramoto Model,26,3.1263678962182024
20,2,Kuramoto Model,27,3.2062473290252456
20,2,Kuramoto Model,28,3.228089518415122
20,2,Kuramoto Model,29,3.0913200436482033
20,2,Kuramoto Model,30,3.154940322171366
20,10,Majority Model,1,1.463638176945014
20,10,Majority Model,2,1.4015403537922388
20,10,Majority Model,3,0.8649946088119929
20,10,Majority Model,4,0.9435080025614655
20,10,Majority Model,5,0.5753890095966215
20,10,Majority Model,6,0.3682187205940214
20,10,Majority Model,7,0.609921980037025
20,10,Majority Model,8,0.6981684892238511
20,10,Majority Model,9,0.4411175614027963
20,10,Majority Model,10,0.44480714224533013
20,10,Majority Model,11,0.6191049612984992
20,10,Majority Model,12,0.35782680285803703
